2024-07-01 10:27:56 | INFO     | DF | Running on device cuda:0
2024-07-01 10:27:56 | INFO     | DF | Model loaded
2024-07-01 10:30:17 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:30:17 | INFO     | DF | Running on host cvlab
2024-07-01 10:30:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:30:17 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:30:17 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:30:17 | INFO     | DF | Running on device cuda:0
2024-07-01 10:30:17 | INFO     | DF | Model loaded
2024-07-01 10:34:09 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:34:09 | INFO     | DF | Running on host cvlab
2024-07-01 10:34:09 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:34:09 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:34:09 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:34:09 | INFO     | DF | Running on device cuda:0
2024-07-01 10:34:09 | INFO     | DF | Model loaded
2024-07-01 10:43:54 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:43:54 | INFO     | DF | Running on host cvlab
2024-07-01 10:43:54 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:43:54 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:43:55 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:43:55 | INFO     | DF | Running on device cuda:0
2024-07-01 10:43:55 | INFO     | DF | Model loaded
2024-07-01 10:44:27 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:44:27 | INFO     | DF | Running on host cvlab
2024-07-01 10:44:27 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:44:27 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:44:27 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:44:27 | INFO     | DF | Running on device cuda:0
2024-07-01 10:44:27 | INFO     | DF | Model loaded
2024-07-01 10:44:36 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:44:36 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:44:36 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
